year,duration,speechiness,tempo,valence,danceability,energy,acousticness,instrumentalness,liveness,loudness,revenue
1958,149.5508647,0.051396871,113.8943049,0.675069325,0.545860123,0.47143092,0.670536079,0.062691002,0.193291595,-10.8063773,0
1959,148.8483542,0.057691203,117.7171144,0.661093524,0.528111171,0.482843632,0.674083979,0.070608096,0.192839895,-10.93905262,0
1960,153.1481486,0.045527904,117.3584119,0.653142525,0.51685202,0.456820809,0.666799829,0.070479904,0.205267071,-10.80136212,0
1961,154.6738218,0.052219436,118.8618562,0.666774773,0.53112319,0.47871811,0.653478815,0.087807573,0.218387043,-10.42502233,0
1962,159.1723687,0.057662071,119.2621769,0.670719199,0.542765505,0.477446553,0.638669219,0.071892989,0.21359066,-10.84884729,0
1963,155.2407465,0.052373684,119.0442333,0.68493301,0.539497211,0.509576692,0.594990326,0.064946724,0.236043827,-10.39962746,0
1964,157.2217981,0.048720775,119.8243075,0.687864423,0.533909778,0.549902853,0.541244071,0.043150288,0.22298654,-9.927772251,0
1965,161.700455,0.048308923,120.3142348,0.661798083,0.527138749,0.546994249,0.498900049,0.045689355,0.223686194,-9.930333866,0
1966,165.0368609,0.044900913,121.902608,0.679667261,0.547281737,0.544529376,0.448360174,0.042925904,0.209840891,-10.00665835,0
1967,171.589113,0.04548754,120.9638863,0.658632106,0.531872669,0.534498045,0.431028662,0.034496828,0.207356821,-10.02704798,0
1968,181.7088775,0.048774608,118.8824685,0.654639143,0.545082221,0.521538885,0.410847676,0.064580167,0.215015203,-10.71489389,0
1969,194.2042067,0.048778702,120.0426246,0.659734442,0.528936706,0.530003696,0.392427819,0.042824145,0.204445322,-10.80049757,0
1970,205.4313534,0.05124739,116.4983627,0.657347565,0.540471888,0.561566968,0.37074715,0.034379324,0.213321963,-10.49638479,0
1971,209.135139,0.0541124,117.5228503,0.661798353,0.551075637,0.552326962,0.411471033,0.042370364,0.198387523,-10.80578698,0
1972,219.1184223,0.052373918,119.7516202,0.637941865,0.540305216,0.55416111,0.40355832,0.053745826,0.19927929,-10.72300555,0
1973,227.7760989,0.054390027,122.3060769,0.673656205,0.564989847,0.559963042,0.395040043,0.050003213,0.178570149,-10.68143592,0
1974,231.799372,0.058148556,118.6488114,0.683288578,0.588075055,0.594738731,0.356197576,0.051087269,0.203546827,-10.37885208,0
1975,236.003384,0.052262485,117.7121979,0.66826145,0.582225379,0.583179701,0.342796014,0.048530199,0.179580303,-10.5407308,0
1976,248.6620969,0.054894107,120.1989167,0.658710899,0.584694728,0.602102193,0.313708723,0.054949196,0.188672995,-10.26301994,0
1977,241.4085863,0.047102149,119.4683186,0.641153892,0.587586275,0.58684431,0.304992403,0.043665871,0.180933896,-10.14131857,0
1978,254.316761,0.047767629,118.5876611,0.660682966,0.604844645,0.586513332,0.265661458,0.033410025,0.176333781,-10.24397378,0
1979,264.6839782,0.050381922,122.1078468,0.709149925,0.631764059,0.621511204,0.221823125,0.047717096,0.166689485,-10.23591187,0
1980,244.1506521,0.047484772,122.0243598,0.656661804,0.611528539,0.580592397,0.278899169,0.03373727,0.178517489,-10.4917121,0
